name,birthDate,deathDate,dateCalled,dateOrdained,seniority,gapStart,gapEnd,outDate,notes
Francis M. Lyman,1840-02-12,1916-11-18,1880-10-27,1880-10-27,30,,,,
John Henry Smith,1848-09-18,1911-10-13,1880-10-27,1880-10-27,31,,,,
George Teasdale,1831-12-08,1907-06-09,1882-10-16,1882-10-16,32,,,,
Heber J. Grant,1856-11-22,1945-05-14,1882-10-16,1882-10-16,33,,,,
John W. Taylor,1858-05-15,1916-10-10,1884-05-15,1884-05-15,34,,,1911-03-28,"Resigned from the Twelve October 28, 1905. Resignation accepted April 1906. Excommunicated March 28, 1911. Posthumously re-baptized and received restoration of blessings May 21, 1965."
Marriner W. Merrill,1832-09-25,1906-02-06,1889-10-07,1889-10-07,35,,,,
Anton H. Lund,1844-05-15,1921-03-02,1889-10-07,1889-10-07,36,,,,
Abraham H. Cannon,1859-03-12,1896-07-19,1889-10-07,1889-10-07,37,,,,
Matthias F. Cowley,1858-08-25,1940-06-16,1897-10-07,1897-10-07,38,,,1911-05-11,"Resigned from the Twelve October 28, 1905. Remained an apostle until priesthood suspended May 11, 1911. Priesthood restored on April 3, 1936."
Abraham O. Woodruff,1872-11-23,1904-06-20,1897-10-07,1897-10-07,39,,,,
Rudger Clawson,1857-03-12,1943-06-21,1898-10-10,1898-10-10,40,,,,
Reed Smoot,1862-01-10,1941-02-09,1900-04-08,1900-04-08,41,,,,
Hyrum M. Smith,1872-03-21,1918-01-23,1901-10-24,1901-10-24,42,,,,
George Albert Smith,1870-04-04,1951-04-04,1903-10-08,1903-10-08,43,,,,
Charles W. Penrose,1832-02-04,1925-05-16,1904-07-07,1904-07-07,44,,,,
Orson F. Whitney,1855-07-01,1931-05-16,1906-04-09,1906-04-09,45,,,,
George F. Richards,1861-02-23,1950-08-08,1906-04-09,1906-04-09,46,,,,
David O. McKay,1873-09-08,1970-01-18,1906-04-09,1906-04-09,47,,,,
Anthony W. Ivins,1852-09-16,1934-09-23,1907-10-06,1907-10-06,48,,,,
Joseph Fielding Smith,1876-07-19,1972-07-02,1910-04-07,1910-04-07,49,,,,
James E. Talmage,1862-09-21,1933-07-27,1911-12-08,1911-12-08,50,,,,
Stephen L Richards,1879-06-18,1959-05-19,1917-01-18,1917-01-18,51,,,,
Richard R. Lyman,1870-11-23,1963-12-31,1918-04-07,1918-04-07,52,,,1943-11-12,"Excommunicated November 12, 1943. Re-baptized October 27, 1954. Posthumously received restoration of blessings 1970."
Melvin J. Ballard,1873-02-09,1939-07-30,1919-01-07,1919-01-07,53,,,,
John A. Widtsoe,1872-01-31,1952-11-29,1921-03-17,1921-03-17,54,,,,
Joseph F. Merrill,1868-08-24,1952-02-03,1931-10-08,1931-10-08,55,,,,
Charles A. Callis,1865-05-04,1947-01-21,1933-10-12,1933-10-12,56,,,,
Alonzo A. Hinckley,1870-04-23,1936-12-22,1934-10-11,1934-10-11,57,,,,
J. Reuben Clark,1871-09-01,1961-10-06,1934-10-11,1934-10-11,58,,,,
Albert E. Bowen,1875-10-31,1953-07-15,1937-04-08,1937-04-08,59,,,,
Sylvester Q. Cannon,1877-06-10,1943-05-29,1938-04-06,1938-04-06,60,,,,"Initially an ""associate"" of the Twelve. Made member of the Twelve October 6, 1939."
Harold B. Lee,1899-03-28,1973-12-26,1941-04-10,1941-04-10,61,,,,
Spencer W. Kimball,1895-03-28,1985-11-05,1943-10-07,1943-10-07,62,,,,
Ezra Taft Benson,1899-08-04,1994-05-30,1943-10-07,1943-10-07,63,,,,
Mark E. Petersen,1900-11-07,1984-01-11,1944-04-20,1944-04-20,64,,,,
Matthew Cowley,1897-08-02,1953-12-13,1945-10-11,1945-10-11,65,,,,
Henry D. Moyle,1889-04-22,1963-09-18,1947-04-10,1947-04-10,66,,,,
Delbert L. Stapley,1896-12-11,1978-08-19,1950-10-05,1950-10-05,67,,,,
Marion G. Romney,1897-09-19,1988-05-20,1951-10-11,1951-10-11,68,,,,
LeGrand Richards,1886-02-06,1983-01-11,1952-04-10,1952-04-10,69,,,,
Adam S. Bennion,1886-12-02,1958-02-11,1953-04-09,1953-04-09,70,,,,
Richard L. Evans,1906-03-23,1971-11-01,1953-10-08,1953-10-08,71,,,,
George Q. Morris,1874-02-20,1962-04-23,1954-04-08,1954-04-08,72,,,,
Hugh B. Brown,1883-10-24,1975-12-02,1958-04-10,1958-04-10,73,,,,
Howard W. Hunter,1907-11-14,1995-03-03,1959-10-10,1959-10-10,74,,,,
Gordon B. Hinckley,1910-06-23,2008-01-27,1961-10-05,1961-10-05,75,,,,
Nathan Eldon Tanner,1898-05-09,1982-11-27,1962-10-11,1962-10-11,76,,,,
Thomas S. Monson,1927-08-21,2018-01-02,1963-10-10,1963-10-10,77,,,,
Boyd K. Packer,1924-09-10,2015-07-03,1970-04-06,1970-04-06,78,,,,
Marvin J. Ashton,1915-05-06,1994-02-25,1971-12-02,1971-12-02,79,,,,
Bruce R. McConkie,1915-07-29,1985-04-19,1972-10-12,1972-10-12,80,,,,
L. Tom Perry,1922-08-05,2015-05-30,1974-04-06,1974-04-06,81,,,,
David B. Haight,1906-09-02,2004-07-31,1976-01-08,1976-01-08,82,,,,
James E. Faust,1920-07-31,2007-08-10,1978-10-01,1978-10-01,83,,,,
Neal A. Maxwell,1926-07-06,2004-07-21,1981-07-23,1981-07-23,84,,,,
Russell M. Nelson,1924-09-09,,1984-04-07,1984-04-07,85,,,,
Dallin H. Oaks,1932-08-12,,1984-04-07,1984-04-07,86,,,,
M. Russell Ballard,1928-10-08,2023-11-12,1985-10-06,1985-10-06,87,,,,
Joseph B. Wirthlin,1917-06-11,2008-12-01,1986-10-09,1986-10-09,88,,,,
Richard G. Scott,1928-11-07,2015-09-22,1988-10-01,1988-10-01,89,,,,
Robert D. Hales,1932-08-24,2017-10-01,1994-04-02,1994-04-02,90,,,,
Jeffrey R. Holland,1940-12-03,,1994-06-23,1994-06-23,91,,,,
Henry B. Eyring,1933-05-31,,1995-04-01,1995-04-01,92,,,,
Dieter F. Uchtdorf,1940-11-06,,2004-10-02,2004-10-02,93,,,,
David A. Bednar,1952-06-15,,2004-10-02,2004-10-02,94,,,,
Quentin L. Cook,1940-09-08,,2007-10-06,2007-10-06,95,,,,
D. Todd Christofferson,1945-01-24,,2008-04-05,2008-04-05,96,,,,
Neil L. Andersen,1951-08-09,,2009-04-04,2009-04-04,97,,,,
Ronald A. Rasband,1951-02-06,,2015-10-03,2015-10-03,98,,,,
Gary E. Stevenson,1955-08-06,,2015-10-03,2015-10-03,99,,,,
Dale G. Renlund,1952-11-13,,2015-10-03,2015-10-03,100,,,,
Gerrit W. Gong,1953-12-23,,2018-03-31,2018-03-31,101,,,,
Ulisses Soares,1958-10-02,,2018-03-31,2018-03-31,102,,,,
